R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
KT014_B,23.97,88.94,9.12,9.72,,8.02,
KT015_B,24,88.9,9.68,10.38,9.63,,
KT016_B,23.95,88.86,9.94,10.38,9.85,9.19,
KT017_B,24.12,88.94,5.93,6.88,6.38,,6.33
KT018_B,24.1,88.87,0.45,2.35,0.85,-0.4,1.02
KT019_A,24.02,88.78,10.88,12.56,10.73,10.56,
KT021_B,23.96,88.99,6.73,6.28,6.78,,7.3
KT026_B,23.87,88.77,10.36,10.56,10.56,9.36,9.66
KT027_B,23.65,88.78,6.51,7.7,7.04,6.29,6
KT029_B,23.59,88.85,6.05,6.6,6.78,5.04,6.1
KT032_C,23.91,88.94,5.44,5.86,6.01,,6.16
KT033_B,24.04,88.87,10.08,10.89,9.74,8.96,
KT034_B,23.94,89.28,6,5.89,5.67,5.69,
KT035_B,23.83,89.1,5.45,6.1,4.2,4.42,
KT037_A,23.65,88.59,8.27,9.47,8.42,7.82,7.27
KT038_A,23.87,88.96,5.62,7.14,6.09,,
KT039_A,24.12,88.95,7.73,8.02,7.83,7.46,7.09
KT040_A,24.11,88.95,7.77,8.15,7.82,7.45,7.52
KT041_B,24.12,88.94,8.46,8.79,8.53,8.05,8.85
KT042_B,23.88,89.29,3.22,4.12,2.27,,
KT044_A,23.98,88.83,10.99,11.58,10.92,10.02,11.67
KT045_C,23.61,88.71,4.94,6.72,6.04,,5.99
KT047_C,23.44,88.85,5.47,6.07,6,5.33,5.04
KT049_B,24.01,88.98,7.41,8.07,7.05,,
KT051_B,23.82,89.34,3.72,2.31,2.54,2.38,
KTS004_B,23.81,88.99,7.75,8.01,8.76,,
KTS007_A,23.84,89.2,3.05,4.5,3.54,,
KTS011_A,23.92,89.19,1.05,,3.3,,
MY001_B,24.9,90.43,10.03,11.62,10.3,9.66,
MY002_B,24.97,90.84,4.4,4.58,4.23,3.6,4.2
MY003_B,24.95,90.75,4.55,5.7,3.48,,4.75
MY004_C,24.95,90.59,5.66,10.3,8.25,,
MY005_B,25.08,90.7,10.03,11.55,10.29,9.89,
MY006_B,25,90.59,5.9,8.26,6.19,5.3,5.56
MY007_B,24.74,90.82,4.59,4.67,4.55,2.25,
MY008_B,24.61,90.64,9.25,9.95,9.22,8.65,9.1
MY009_C,24.55,90.59,1.61,2.41,0.46,,
MY010_B,24.48,90.91,4.4,5.14,3.37,3.27,2.12
MY012_B,24.33,90.82,3.85,3.57,3.95,3.03,3.66
MY013_B,24.24,90.99,4.93,4.94,4.88,,5.38
MY014_C,24.27,90.93,1.45,1.31,0.85,1.15,
MY015_B,24.18,90.88,3.08,3.23,2.76,2.9,
MY016_B,24.07,91.02,2.23,3.08,3.95,,3.19
MY017_B,24.47,90.71,6.49,4.85,6.25,,
MY018_B,24.33,90.76,5.87,6.72,5.97,6.12,
MY019_B,24.28,90.82,3.56,3.33,2.87,3.4,3.58
MY020_C,24.91,90.34,8.9,10.38,,10.29,
MY021_C,25.13,90.34,2.19,4.26,,1.6,0.03
MY023_B,24.61,90.27,-3.95,1.7,1.04,-3.2,-2.2
MY024_B,24.8,90.39,3.23,2.37,3.52,2.81,
MY025_B,24.61,90.41,-0.38,2.93,,7.89,3.42
MY026_B,24.86,90.77,6.14,6.51,5.67,7.96,5.71
MY027_B,24.52,91.06,3.35,3.2,3.95,4.35,3.65
MY029_B,24.46,90.56,8.52,9.63,7.34,6.06,5.26
MY030_B,24.78,90.19,5.46,7.23,9.89,,
MY032_B,24.79,90.6,7.67,8.05,7.66,7.06,7.4
MY034_B,24.58,90.92,3.13,4.27,3.47,,3.15
MY035_A,24.81,90.87,5.81,7.36,,6.84,7.19
MY038_A,24.85,90.99,1.38,2.13,,,
MY042_B,24.65,90.88,2.52,2.62,2.32,1.17,1.82
MY044_A,24.59,90.75,-0.49,1.15,-4.01,-4.06,-12.28
MY046_B,24.75,90.64,7.54,8.54,7.94,,8.35
MY047_A,25.04,90.91,3.35,1.4,,1.8,1.58
MY048_A,24.53,90.75,2.22,4.52,,,
MY050_B,25.04,90.32,7.25,7.53,8.44,6.72,7.05
MY051_B,24.82,91.03,5.02,4.82,5.97,5.72,3.72
MY052_B,24.83,90.32,5.47,6.26,5.8,5.38,4.93
MY053_B,25.15,90.68,8.47,8.64,8.26,6.91,
MY055_B,24.73,90.22,-0.76,2.64,2.27,-1.06,1.94
MY056_B,24.58,90.46,-1.21,1.56,-0.98,-4.99,-5.59
MY058_B,24.71,90.27,6.18,8.38,7.38,6.03,6.73
MY059_B,24.57,90.32,5.29,2.63,3.47,,-1.13
MY060_A,24.36,90.3,4.46,4.79,4.67,,
MY061_B,24.54,90.46,5.05,5.33,6.33,,3.36
MY063_B,24.34,91.11,4.48,4.68,1.84,0.11,2.6
MY064_C,24.54,90.74,6.97,6.66,7.32,4.3,
MY066_C,24.35,90.98,5.33,4.96,4.32,,3.98
MY067_B,24.95,90.3,8.97,,9.87,9.04,9.65
MY069_B,24.12,91,2.56,4.11,3.22,,3.01
MY070_B,24.29,90.71,4.09,4.05,3.38,2.78,4.13
MY071_B,24.16,90.95,-0.05,-0.1,0.25,-1.33,-1.65
MY072_B,24.36,90.7,5.62,6.83,,4.77,3.48
MY073_B,24.48,90.8,-1.41,1.76,1.86,-2.96,-2.24
MY076_B,24.24,90.86,3.69,4.4,2.76,,4.51
MY077_B,24.46,90.98,4.04,4.52,1.74,3.09,2.34
MY078_C,24.91,90.7,8.31,11.66,11,10,11.4
MY079_B,24.85,90.47,6.77,8.31,7.47,5.87,6.37
MY081_B,24.61,90.59,4.2,5.13,4.27,,
MY084_A,24.36,90.36,7.85,9.82,6.74,7.12,6.75
MY085_A,24.43,90.45,9.09,9.58,8.34,7.16,
MY086_B,24.83,90.71,3.78,2.71,6.18,0.23,5.18
MY087_B,24.78,90.25,6.33,8.96,8.82,,6.5
MY088_A,24.4,90.85,2.5,3.33,2.9,2.76,3.4
MY090_B,24.45,90.65,4.74,,3.67,2.78,2.95
NA001_C,23.21,91.45,8.28,7.78,,5.43,
NA004_B,23.02,91.2,5.07,3.8,5.3,4.8,
NA009_A,22.96,90.87,1.78,2.73,2.38,2.03,
NA010_B,22.76,90.97,3.28,3.08,3.17,2.1,
NA011_B,22.17,91.09,-2.57,-0.54,,-1.35,
NA012_A,22.91,90.93,0.82,2.77,2.04,,
NA013_A,22.77,91.27,3.55,3.82,1.76,,
NA016_B,22.82,91.18,2.12,3.95,4.23,1.96,
NA019_A,22.76,91.19,2.51,,2.86,1.96,
NA026_A,22.6,91.2,1.12,2.81,0.83,0.42,
NA029_A,23.13,91.48,-1.6,1.79,1.09,-2.68,
NA030_A,22.95,90.71,-0.61,0.09,-0.93,-1.21,
PA002_C,24.02,89.57,3.75,4.03,5.4,4.86,4.91
PA003_B,24.06,89.66,4.21,6.01,6.06,5.68,5.06
PA004_B,24.2,89.65,2.99,3.72,3.6,3.3,3.62
PA005_C,24.33,89.45,5.78,6.31,6.06,,5.09
PA006_B,24.13,89.27,1.17,3.17,1.75,,1.07
PA007_B,24.14,89.09,5.45,7.9,5.95,,4.53
PA008_B,23.88,89.51,3.27,3.84,,2.64,
PA010_A,24.2,89.45,2.93,0.93,2.73,,
PA012_C,24.23,89.76,7.03,7.05,7.32,6.97,6.64
PA013_B,24.36,89.74,4.32,5.48,5.8,6.16,5.05
PA014_B,24.39,89.66,7.04,8.04,7.54,6.54,7.14
PA015_B,24.49,89.72,7.95,8.57,9.17,9.08,10
PA017_A,24.69,89.66,8.43,9.34,9.46,9.23,9.76
PA018_B,24.11,89.33,,3.82,,,1.77
PA019_B,23.94,89.45,2.38,4.08,4.04,,3.81
PA021_C,23.83,89.65,4.29,4.85,5.31,4.06,4.91
PA023_B,24.31,89.51,3.95,4.2,3.43,2.74,3.58
PA027_B,24.58,89.66,4.7,5.85,5.3,,5.55
PA030_A,24.14,89.15,6.42,,,6.45,7.48
PA031_B,24.12,89.04,5.52,6.42,6.22,5.47,6.56
PA032_A,24.03,89.07,5.16,7.16,5.88,5.91,5.96
PA033_B,23.96,89.33,2.9,3.75,,,1.95
PA034_B,23.98,89.39,4.51,5.92,,4.22,4.92
PA035_B,24.09,89.13,6.61,7.21,6.91,,6.11
PA036_A,23.93,89.52,3.31,4.81,4.01,4.29,2.51
PA037_A,23.83,89.54,3.47,4.77,4.67,4.42,4.62
PA038_A,23.87,89.45,3.8,3.9,4.77,5.12,4.57
PA040_B,23.87,89.64,,4.88,4.95,3.75,3.71
PA041_B,23.88,89.69,5.05,5.3,5.25,3.52,4.25
PA042_A,24.01,89.29,4.62,5.68,5,3.75,4.38
PA043_A,24.01,89.35,4.62,5.68,5.03,3.88,4.53
PA046_A,24.49,89.66,8.22,8.82,,8.47,8.21
PA047_B,24.02,89.65,3.93,5.3,6.27,6.44,3.44
PA049_A,23.96,89.65,4.27,6.02,6.16,6.31,5.42
PA051_A,24.16,89.22,1.62,3.62,1.92,-0.11,1.32
PA053_A,24.57,89.71,7.77,7.82,8.5,,7.34
PA056_A,24.53,89.68,9.45,10.03,10.05,9.73,10.5
PA058_B,24.45,89.4,5.04,5.86,5.26,,5.24
PA060_C,24.62,89.69,8.28,9.28,10.54,8.28,8.1
PA061_A,23.82,89.7,4.03,5.63,6.28,,5.36
PA062_B,24.47,89.59,3.94,7.24,4.89,,6.89
PAS08_A,24.22,89.25,2.33,,2.15,,
PAS10_A,23.93,89.68,1.5,4.96,4.75,,
PAS11_A,23.91,89.57,2.97,,4.52,,
PAS13_A,24.17,89.31,-0.04,,0.17,,
PT003_A,22.15,90.16,-0.02,0.18,0.43,0.09,0.38
PT004_A,22.25,90.06,0.83,0.53,0.26,,
PT006_B,22.2,90.29,-1.27,-1.36,-0.89,-0.18,0.6
PT008_B,22.08,89.94,-0.33,-0.06,0.04,-0.06,0.1
RA-01_B,26.43,88.98,60.09,61.01,61.09,,60.72
RA-03_A,26.06,88.82,59.19,59.4,,59.2,59.16
RA-04_B,26.26,88.81,59.98,60.31,59.61,59.6,59.64
RA-05_A,26.2,88.88,55.44,55.19,54.74,54.39,54.23
RA-06_B,26.23,88.95,53.46,53.61,53.47,53.16,53.86
RA-07_B,26.19,89.12,48.67,49.06,49.14,,49.26
RA-08_B,26.22,88.84,54.5,54.86,,,54.08
RA-09_A,26.13,88.91,52.22,51.75,51.56,51.23,50.74
RA-10_B,26.13,89.03,,47.74,47.72,47.55,47.67
RA-11_A,26.12,89.04,49.81,50.38,50.33,50.24,50.24
RA-12_B,26.11,89.13,44.23,44.66,44.85,44.56,44.83
RA-13_A,26.11,88.84,49.34,49.8,48.95,48.13,49.24
RA-14_A,26.04,88.82,49.47,49.78,49.36,48.09,47.29
RA-15_C,26.01,88.95,45.84,46.84,47.68,47.48,47.95
RA-16_B,26,89.06,44.72,47.03,47.05,,46.79
RA-17_A,26.06,89.24,37.31,37.37,39.27,,38.51
RA-18_B,26.1,89.22,41.37,41.48,41.28,41.28,41.1
RA-19_B,26.1,88.92,43.88,45.11,45.44,45.18,45.23
RA-20_C,25.99,88.84,49.91,50,49.78,49.37,51.42
RA-21_C,26.17,88.99,49.69,50.5,50.2,50.28,52.08
RA-23_A,26.08,88.99,47.9,48.05,47.83,48,47.43
RA-24_A,26.14,88.87,39.27,42.09,40.9,,
RA-25_B,26.39,89.06,52.33,52.38,52.93,52.48,52.83
RA-27_B,25.79,89.28,27.55,28.81,28.63,28.43,28.61
RA-28_B,25.79,89.23,32.2,32.42,32.73,32.86,33.05
RA-29_A,25.78,88.91,34.84,34.97,35.45,35.93,36.8
RA-31_A,25.68,89.07,28.36,28.74,28.89,28.29,27.04
RA-32_C,25.94,89.49,31.71,31.24,32.19,,31.26
RA-33_A,25.8,89.44,21.63,21.88,21.29,21.62,21.17
RA-34_B,25.71,89.39,23.76,24.25,24.3,24.19,24.29
RA-35_A,25.55,89.46,21.54,22.09,22.39,21.92,21.2
RA-36_A,25.97,89.66,24.54,25.11,25.47,,23.81
RA-37_B,25.8,89.7,21.14,21.75,21.75,,21.74
RA-38_A,25.66,89.63,21.67,21.96,21.97,21.64,22.48
RA-39_B,25.41,89.57,16.62,16.74,17.07,16.49,16.59
RA-40_B,25.13,89.56,15.92,16.2,17.08,16.25,16.1
RA-41_A,25.32,89.48,15,16.45,16.53,16.05,16.5
RA-42_B,25.13,89.39,15.85,16.15,16.4,15.6,16.35
RA-43_B,25.65,89.25,24.45,25.44,25.23,25.16,24.89
RA-44_B,25.97,88.85,44.63,43.94,44.92,43.81,43.94
RA-45_B,25.75,89.02,31.58,32.71,32.28,32.04,32.01
RA-46_B,25.81,89.05,34.6,34.4,34.22,33.64,35
RA-47_B,25.9,89.21,32.75,33.09,34.11,34.49,32.91
RA-48_B,25.79,89.17,30.3,30.5,30.89,30.6,30.4
RA-49_B,25.95,89.26,34.91,35.36,35.42,35.54,35.35
RA-50_A,25.88,89.1,38.87,39.32,39.22,39.64,
RA-51_B,25.59,89.26,26.72,27.57,27,26.6,26.45
RA-52_B,25.45,89.35,,20.16,,20.64,21.34
RA-53_A,25.27,89.35,25.56,26.01,26.12,25.62,25.15
RA-54_A,26.09,88.87,52.4,52.68,52.34,51.99,52.07
RA-55_B,25.39,89.47,22.57,23.03,21.77,22.87,23.11
RA-57_B,25.39,89.45,14.27,14.87,15.04,14.17,15.12
RA-58_B,25.16,89.53,14,14.4,14.65,13.94,14.02
RA-59_B,25.46,89.27,15.14,17.9,16.84,,
RA-62_A,25.91,89.71,22.94,23.19,23.38,23.43,23.77
RA-64_A,25.68,89.59,20.83,21.8,22.22,22.01,20.97
RA-65_A,25.77,89.63,22.17,24,24.52,23.79,24.21
RA-66_A,25.85,89.02,40.72,41.71,42.68,42.68,41.18
RA-67_A,25.95,89.2,37.06,37.31,36.96,37.2,36.96
RA-68_B,25.8,88.95,36.84,37.21,36.96,36.84,36.58
RA-69_A,25.78,89.41,26.96,28.67,27.32,26.57,27.13
RA-70_B,25.84,89.52,25.37,25.48,26.07,25.37,26.25
RA-71_A,25.85,89.68,21.64,22.5,22.38,,21.9
RA-72_A,25.32,89.48,22.99,22.58,22.64,22.64,22.59
RA-73_A,25.21,89.38,18.06,18.54,18.71,18.02,17.82
RA-74_A,25.12,89.37,17.51,17.81,17.84,,
RA-76_A,25.47,89.46,,22.54,22.12,,20.94
RA-78_B,25.07,89.57,12.47,12.8,13.44,12.6,
RA-79_B,26.17,88.87,53.3,54.51,53.43,52.73,52.69
RA-80_A,25.19,89.35,15.31,15.08,15.12,14.65,13.95
RA-81_A,25.6,89.74,17.3,18.05,18.31,18.53,18.18
RA-82_A,26,89.24,39.21,39.24,39.22,39.12,39.13
RA-83_B,25.71,89.07,33.26,34.04,34.46,,
RA-84_B,25.59,89.51,22.47,23.37,,,
RJ003_B,25.14,88.92,16.37,16.72,16.32,15.68,16.19
RJ004_D,25.15,88.56,13.38,13.61,12.51,,8.71
RJ005_B,25.09,88.92,13.78,14.73,13.83,,13.63
RJ007_B,25.1,88.64,14.22,14.02,13.86,12.64,10.47
RJ008_C,25.18,88.85,13.69,14.5,13.82,12.57,13.11
RJ009_C,24.99,88.6,12.47,12.69,11.93,10.11,8.18
RJ010_B,25.05,88.64,13.21,13.16,12.54,12.26,9.76
RJ011_B,25.04,88.72,12.26,12.41,12.21,10.56,9.76
RJ012_B,25.02,88.45,21.88,23.41,21.61,19.31,18.91
RJ013_A,25.02,88.67,13.62,13.54,14.1,,10.21
RJ015_B,25.02,88.95,11.72,13.37,12.23,11.43,12.52
RJ016_B,24.86,88.44,34.34,39.24,37.24,35.04,33.54
RJ018_B,24.88,88.81,7.27,11.04,6.61,,6.54
RJ020_B,24.82,88.57,8.37,7.66,7.42,4.92,3.89
RJ021_B,24.76,88.9,3.88,7.52,4.02,,0.73
RJ022_B,24.69,89.07,6.88,,6.88,5.36,3.41
RJ023_A,24.63,88.68,,7.44,,,
RJ025_C,24.66,88.96,4.23,6.2,4.71,3.82,4.14
RJ026_B,24.61,89.2,5.38,5.73,5.23,4.68,4.23
RJ027_B,24.64,88.49,11.18,,8.18,,0.9
RJ028_B,24.58,88.63,,7.89,,,
RJ034_C,24.34,88.77,6.65,7.97,6.88,6.17,
RJ037_C,24.49,88.58,4.31,7.31,2.99,,0.39
RJ039_B,24.68,88.53,10.06,10.1,9.29,6.58,3.72
RJ040_B,24.62,88.54,19.16,18.36,15.67,,7.41
RJ041_B,24.68,88.43,16.81,17.36,18.49,13.47,9.54
RJ042_B,24.58,88.41,17.14,17.64,16.84,15.69,14.74
RJ044_B,24.71,88.38,20.84,21.92,19.5,15.9,9.73
RJ045_C,24.74,88.43,,19.99,,,10.52
RJ048_C,24.93,88.41,19.26,20.04,13.16,4.92,3.41
RJ049_D,24.97,88.47,22.06,21.66,17.61,,16.46
RJ051_C,25.16,88.62,14.05,13.85,13.55,,10.85
RJ052_B,25.01,88.54,11.72,12.06,13.42,9.96,8.3
RJ054_B,25.1,88.72,14.24,14.99,14.23,13.71,14.34
RJ055_B,25.03,88.81,11.28,11.69,11.28,10.63,9.53
RJ057_B,24.93,88.77,10.35,10.57,9.85,8.82,8.32
RJ058_B,24.94,88.69,11.24,11.6,11.35,,8.35
RJ060_B,24.92,88.96,11.46,13.02,12.03,10.78,11.63
RJ061_B,24.9,88.9,,8.84,9.84,8.74,9.14
RJ062_B,24.84,88.9,4.66,8.06,6.26,,5.11
RJ063_B,24.84,88.67,7.95,7.33,8.3,,7.2
RJ065_B,24.75,88.69,6.54,8.24,7.03,5.24,
RJ067_B,24.43,88.7,,9.3,,,
RJ068_B,24.49,88.71,,7.62,,,
RJ069_B,24.49,88.88,,8.43,,,
RJ072_C,24.88,88.56,,,24.42,,
RJ073_C,24.73,88.3,29,,29.3,28.5,28.85
RJ074_B,24.68,88.3,14.41,14.96,,13.21,13.76
RJ075_B,24.85,88.27,14.68,15.41,14.86,14.49,13.89
RJ077_B,24.56,88.16,12.75,13.94,13.04,,13.04
RJ079_C,24.64,88.18,13.68,13.9,13.62,12.77,12.71
RJ080_B,24.4,88.43,11.46,12.74,11.73,9.76,10.39
RJ082_B,24.25,89.21,3.11,4.58,3.73,,3.15
RJ084_C,24.39,88.6,8.92,10.05,8.58,6.8,6.05
RJ085_B,24.42,88.61,8.36,8.51,9.61,8.41,
RJ086_B,24.57,88.55,9.16,8.7,6.96,,0.26
RJ089_C,24.42,89.25,6.23,7.33,6.23,,7.53
RJ090_B,24.47,89.14,,6.85,6.83,,7.65
RJ091_B,24.51,88.32,13.07,13.14,10.81,,5.61
RJ092_B,24.52,88.38,14.43,14.95,12.92,11.52,10.61
RJ093_B,24.49,88.46,11.42,12.71,11.42,10.54,10.46
RJ094_B,24.38,88.68,2.22,3.65,1.95,,1.1
RJ095_B,24.43,88.6,8.78,9.72,8.1,6.55,6.65
RJ096_B,24.38,88.68,8.33,9.92,8.32,7.37,9.36
RJ097_B,24.34,88.69,10.43,,,,9.87
RJ099_B,24.28,88.74,8.29,10.1,9.64,8.09,9.03
RJ100_B,24.49,88.23,13.35,13.2,12.52,11.05,10.9
RJ101_B,24.25,88.99,8.13,10.8,10.63,8.5,9.9
RJ102_B,24.29,88.84,10.61,11.6,10.66,9.5,8.69
RJ103_B,24.37,88.51,8.83,10.69,8.82,8.42,8.06
RJ104_B,24.43,88.46,12.59,11.1,13.22,,10.42
RJ105_B,24.45,88.42,14.12,13.47,11.03,,2.42
RJ106_B,24.61,88.13,17.45,17.25,17.75,,16.45
RJ107_B,24.7,88.12,16.31,16.6,16.65,15.65,15.85
RJ108_B,24.76,88.22,16.04,17.35,16.53,15.09,15.11
RJ109_B,24.59,88.27,14.27,15.53,14.63,13.49,13.92
RJ114_A,24.4,88.406,10.99,12.89,11.24,9.59,
RJ115_A,24.4,88.41,10.2,11.4,9.3,8.17,
RJ116_B,24.28,88.8,6.63,7.77,6.77,8.02,7.5
RJ120_B,24.51,88.27,11.48,13.23,12.78,16.78,
RJ122_B,24.76,88.35,17.45,17.85,16.88,,10.5
RJ123_A,24.54,88.46,9.48,11.58,10.21,8.83,
RJ124_A,24.47,88.32,10.01,12.33,10.59,8.22,10.67
RJ127_B,24.8,88.61,4.35,3.07,3.21,,-2.93
RJ128_B,24.77,88.51,16.95,14.32,12.28,9.48,5.48
RJ131_A,24.18,88.98,7.15,7.65,,6.25,7.12
RJ132_A,24.21,89,7.16,7.76,8.76,6.71,7.37
RJ133_A,24.73,89.03,3.67,5.19,,3.42,4.18
RJ135_A,24.76,88.12,12.27,12.6,12.35,12.37,13.12
RJ136_A,24.63,88.58,9.79,8.61,8.11,5.31,2.21
RJ142_B,25.07,88.76,8.55,9.01,9.01,,8.73
RJ143_A,24.56,88.77,4.39,9.14,8,,
RJ144_A,24.31,89.22,4.26,7.24,8.66,,6.98
RJ145_A,24.97,88.82,,11.91,10.86,10.36,5.76
RJS06_A,24.16,88.95,7.49,8.24,8.23,,
RJS07_A,24.33,89.14,4.61,,5.71,,
RJS08_A,24.45,89.04,6.25,,8.1,,
RJS23_A,25.19,88.51,21.03,,,,
RJS33_A,25.03,88.47,14.45,14.71,,,
RJS35_A,24.85,88.34,12.5,13.61,,,
RJS37_A,24.74,88.55,12.12,,,,
RJS38_A,24.93,88.58,15.91,,,,
SY001_B,24.17,91.41,6.46,6.24,,,
SY002_B,24.18,91.36,10.8,11.02,,,
SY003_B,24.15,91.56,7.29,8.84,,,
SY004_B,24.13,91.36,4.95,6.55,5.85,,
SY005_B,24.17,91.62,33.3,33.6,33.4,31.8,
SY008_B,24.21,91.73,4.15,4.45,5.1,5,
SY011_B,24.29,91.72,14.99,15.11,14.79,12.91,
SY013_B,24.32,91.75,9.05,9.61,9.56,8.11,
SY016_B,24.23,91.74,10.07,,11.05,10.74,
SY023_B,24.36,91.85,20.51,21.35,,,
SY024_B,24.37,91.65,10.51,10.16,9.94,8.52,
SY026_B,24.22,91.54,16.56,17.53,17.81,17.47,
SY027_B,24.4,91.91,18.57,18.84,,,
SY040_B,24.55,92.14,13.7,12.6,11.65,9.2,
SY044_B,24.65,92.23,17.35,18.1,17.66,17.35,
SY045_B,24.7,92.16,9.59,10.64,10.59,,
SY046_B,24.64,92.02,11.97,11.25,11.18,11.68,
SY047_B,24.34,91.72,6.87,7.66,7.2,6.67,
SY050_B,24.84,92.23,7.55,8.2,7.9,,
SY060_B,25.05,92.05,14.47,15.19,15.06,,
SY061_B,25.08,92.16,5.85,7.1,,3.85,
SY070_A,24.85,92.17,8.65,9.22,9.24,9.95,
SY071_A,24.94,91.75,7.38,8.06,8.2,8,
SY072_B,24.68,91.8,7.15,6.65,6.55,6.53,
SY073_A,25.02,91.46,6.81,6.4,6.11,5.72,
SY074_B,24.92,91.69,,,,4.5,
SY075_C,25,91.63,8.02,7.8,7.68,7.4,
SY076_A,24.52,91.44,0.58,2.1,,2.54,
SY079_A,24.29,91.26,1.9,3.35,1.95,,
SY082_A,24.74,91.76,6.66,6.2,5.77,5.19,
SY087_B,24.99,92.34,12.2,12.71,12.45,,
SY092_A,24.8,91.45,2.35,1.81,1.4,,
SY093_B,25,91.24,3.09,4.39,4.27,,
SY094_B,24.54,91.3,4.43,5.03,4.98,,
SY097_B,24.94,91.21,,2.51,2.9,4.42,
SY105_A,24.88,91.24,5.13,4.37,2.69,,
SY112_A,24.47,91.73,8.67,6.69,5.19,,
TA001_B,24.19,90.23,2.47,3.37,2.82,2.32,2.87
TA002_B,24.18,90.04,4.15,4.33,4.8,3.89,4.35
TA003_C,24.24,89.83,12.72,12.11,11.87,,
TA004_C,24.65,90.04,6.61,7.71,7.26,6.77,7.18
TA005_B,24.05,89.94,4.03,4.93,4.53,4.83,3.47
TA006_B,24.34,90,6.16,6.69,6.36,5.92,6.09
TA007_B,24.26,90.06,4.18,4.92,4.15,2.54,-1.07
TA008_B,24.08,89.93,9.9,10.7,10.38,9.35,10.03
TA009_B,24.22,89.87,6.89,7.33,6.72,6.39,6.41
TA010_B,24.32,90.06,6.47,7.18,6.55,6.55,5.57
TA012_A,24.17,90.03,3.43,4.53,4.08,3.55,3.97
TA013_B,24.56,89.89,11.51,11.12,11.07,10.74,11.02
TA014_A,24.46,89.8,8.07,7.55,8.57,7.87,7.67
TA015_B,24.5,90.05,12.16,12.83,12.55,12.32,12.52
TA016_C,24.36,89.87,8.03,8.12,7.28,7.31,7.44
TA017_B,24.7,90.01,18.87,19.87,19.36,,
TA018_B,24.72,90.08,13.82,17.35,15.7,,13.5
TA020_B,24.46,90.11,5.12,6.05,,,
TA021_B,24.3,90.23,9.59,9.82,8.63,7.46,6.22
TA022_B,24.14,90.17,4.67,5.73,5.63,5.76,4.9
TA023_A,24.03,89.84,4,4.53,4.46,3.23,3.67
TA024_A,24.04,89.89,2.88,6.19,1.77,1.66,3.4
TA026_B,24.21,90.09,4.44,5.79,4.43,5.69,4.57
TA027_B,24.42,90.01,6.6,7.25,6.5,,6.5
TA028_B,24.61,90.12,12.2,13.3,14,11.81,12.15
TA030_A,24.48,90.16,7.94,,8.09,,7.44
TA032_B,24.43,90.07,20.54,20.75,20.34,,20.04
TA033_B,24.25,90.23,5.25,5.49,4.42,2.65,
TA034_B,24.36,89.91,9.65,11.8,9.88,10.48,10.75
TA035_A,24.28,89.84,7.32,8.43,7.17,6.66,7.29
TA036_A,24.51,90.11,5.34,5.65,5.44,5.67,5.74
TA037_B,24.31,89.97,6.99,7.88,7.75,7.06,
TA038_B,24.48,90,7.07,8.12,7.51,7.4,7.3
TA039_A,24.29,89.89,6.72,,6.07,5.75,4.96
